,timestamp,meter_reading,meter_type
1856,2016-01-01 00:00:00,299.0,electricity
1857,2016-01-01 00:00:00,695.555,chilledwater
1858,2016-01-01 00:00:00,899.64,steam
1859,2016-01-01 00:00:00,840.861,hotwater
4152,2016-01-01 01:00:00,298.0,electricity
4153,2016-01-01 01:00:00,830.408,chilledwater
4154,2016-01-01 01:00:00,1019.59,steam
4155,2016-01-01 01:00:00,942.818,hotwater
6448,2016-01-01 02:00:00,299.0,electricity
6449,2016-01-01 02:00:00,646.394,chilledwater
6450,2016-01-01 02:00:00,1319.47,steam
6451,2016-01-01 02:00:00,833.966,hotwater
8747,2016-01-01 03:00:00,293.0,electricity
8748,2016-01-01 03:00:00,662.382,chilledwater
8749,2016-01-01 03:00:00,899.64,steam
8750,2016-01-01 03:00:00,941.321,hotwater
11042,2016-01-01 04:00:00,310.0,electricity
11043,2016-01-01 04:00:00,672.578,chilledwater
11044,2016-01-01 04:00:00,899.64,steam
11045,2016-01-01 04:00:00,1008.24,hotwater
13337,2016-01-01 05:00:00,284.0,electricity
13338,2016-01-01 05:00:00,576.014,chilledwater
13339,2016-01-01 05:00:00,1259.5,steam
13340,2016-01-01 05:00:00,896.744,hotwater
15631,2016-01-01 06:00:00,298.0,electricity
15632,2016-01-01 06:00:00,620.534,chilledwater
15633,2016-01-01 06:00:00,1139.54,steam
15634,2016-01-01 06:00:00,1073.08,hotwater
17923,2016-01-01 07:00:00,283.0,electricity
17924,2016-01-01 07:00:00,591.759,chilledwater
17925,2016-01-01 07:00:00,1259.5,steam
17926,2016-01-01 07:00:00,1158.4,hotwater
20218,2016-01-01 08:00:00,298.0,electricity
20219,2016-01-01 08:00:00,590.303,chilledwater
20220,2016-01-01 08:00:00,1319.47,steam
20221,2016-01-01 08:00:00,1068.49,hotwater
22513,2016-01-01 09:00:00,312.0,electricity
22514,2016-01-01 09:00:00,633.603,chilledwater
22515,2016-01-01 09:00:00,1379.45,steam
22516,2016-01-01 09:00:00,1026.08,hotwater
24810,2016-01-01 10:00:00,309.0,electricity
24811,2016-01-01 10:00:00,777.582,chilledwater
24812,2016-01-01 10:00:00,1259.5,steam
24813,2016-01-01 10:00:00,1011.93,hotwater
27109,2016-01-01 11:00:00,299.0,electricity
27110,2016-01-01 11:00:00,689.795,chilledwater
27111,2016-01-01 11:00:00,1019.59,steam
27112,2016-01-01 11:00:00,1122.04,hotwater
29405,2016-01-01 12:00:00,326.0,electricity
29406,2016-01-01 12:00:00,722.756,chilledwater
29407,2016-01-01 12:00:00,1319.47,steam
29408,2016-01-01 12:00:00,1079.53,hotwater
31703,2016-01-01 13:00:00,317.0,electricity
31704,2016-01-01 13:00:00,700.8,chilledwater
31705,2016-01-01 13:00:00,1139.54,steam
31706,2016-01-01 13:00:00,963.587,hotwater
34000,2016-01-01 14:00:00,306.0,electricity
34001,2016-01-01 14:00:00,647.021,chilledwater
34002,2016-01-01 14:00:00,1019.59,steam
34003,2016-01-01 14:00:00,942.568,hotwater
36300,2016-01-01 15:00:00,327.0,electricity
36301,2016-01-01 15:00:00,630.183,chilledwater
36302,2016-01-01 15:00:00,1199.52,steam
36303,2016-01-01 15:00:00,876.746,hotwater
38597,2016-01-01 16:00:00,338.0,electricity
38598,2016-01-01 16:00:00,756.806,chilledwater
38599,2016-01-01 16:00:00,1079.57,steam
38600,2016-01-01 16:00:00,818.584,hotwater
40897,2016-01-01 17:00:00,309.0,electricity
40898,2016-01-01 17:00:00,637.021,chilledwater
40899,2016-01-01 17:00:00,1199.52,steam
40900,2016-01-01 17:00:00,928.378,hotwater
43195,2016-01-01 18:00:00,331.0,electricity
43196,2016-01-01 18:00:00,659.995,chilledwater
43197,2016-01-01 18:00:00,1019.59,steam
43198,2016-01-01 18:00:00,889.273,hotwater
45491,2016-01-01 19:00:00,302.0,electricity
45492,2016-01-01 19:00:00,752.77,chilledwater
45493,2016-01-01 19:00:00,1139.54,steam
45494,2016-01-01 19:00:00,843.519,hotwater
47789,2016-01-01 20:00:00,318.0,electricity
47790,2016-01-01 20:00:00,664.562,chilledwater
47791,2016-01-01 20:00:00,1139.54,steam
47792,2016-01-01 20:00:00,996.718,hotwater
50085,2016-01-01 21:00:00,348.0,electricity
50086,2016-01-01 21:00:00,721.082,chilledwater
50087,2016-01-01 21:00:00,1079.57,steam
50088,2016-01-01 21:00:00,971.919,hotwater
52381,2016-01-01 22:00:00,309.0,electricity
52382,2016-01-01 22:00:00,681.026,chilledwater
52383,2016-01-01 22:00:00,1139.54,steam
52384,2016-01-01 22:00:00,940.77,hotwater
54678,2016-01-01 23:00:00,343.0,electricity
54679,2016-01-01 23:00:00,577.809,chilledwater
54680,2016-01-01 23:00:00,1199.52,steam
54681,2016-01-01 23:00:00,983.725,hotwater
56977,2016-01-02 00:00:00,342.0,electricity
56978,2016-01-02 00:00:00,544.277,chilledwater
56979,2016-01-02 00:00:00,1259.5,steam
56980,2016-01-02 00:00:00,1164.43,hotwater
59273,2016-01-02 01:00:00,317.0,electricity
59274,2016-01-02 01:00:00,581.708,chilledwater
59275,2016-01-02 01:00:00,1259.5,steam
59276,2016-01-02 01:00:00,1277.75,hotwater
61570,2016-01-02 02:00:00,315.0,electricity
61571,2016-01-02 02:00:00,702.381,chilledwater
61572,2016-01-02 02:00:00,1259.5,steam
61573,2016-01-02 02:00:00,1167.29,hotwater
63867,2016-01-02 03:00:00,311.0,electricity
