,building_id,meter,timestamp,meter_reading,site_id,primary_use,square_feet,year_built,floor_count,air_temperature,cloud_coverage,dew_temperature,precip_depth_1_hr,sea_level_pressure,wind_direction,wind_speed
1856,1249,0,2016-01-01 00:00:00,299.0,14,Office,159384,,,,,,,,,
1857,1249,1,2016-01-01 00:00:00,695.555,14,Office,159384,,,,,,,,,
1858,1249,2,2016-01-01 00:00:00,899.64,14,Office,159384,,,,,,,,,
1859,1249,3,2016-01-01 00:00:00,840.861,14,Office,159384,,,,,,,,,
4152,1249,0,2016-01-01 01:00:00,298.0,14,Office,159384,,,5.6,0.0,-0.6,0.0,1019.5,300.0,2.6
4153,1249,1,2016-01-01 01:00:00,830.408,14,Office,159384,,,5.6,0.0,-0.6,0.0,1019.5,300.0,2.6
4154,1249,2,2016-01-01 01:00:00,1019.59,14,Office,159384,,,5.6,0.0,-0.6,0.0,1019.5,300.0,2.6
4155,1249,3,2016-01-01 01:00:00,942.818,14,Office,159384,,,5.6,0.0,-0.6,0.0,1019.5,300.0,2.6
6448,1249,0,2016-01-01 02:00:00,299.0,14,Office,159384,,,5.6,4.0,-0.6,0.0,1019.5,300.0,2.6
6449,1249,1,2016-01-01 02:00:00,646.394,14,Office,159384,,,5.6,4.0,-0.6,0.0,1019.5,300.0,2.6
6450,1249,2,2016-01-01 02:00:00,1319.47,14,Office,159384,,,5.6,4.0,-0.6,0.0,1019.5,300.0,2.6
6451,1249,3,2016-01-01 02:00:00,833.966,14,Office,159384,,,5.6,4.0,-0.6,0.0,1019.5,300.0,2.6
8747,1249,0,2016-01-01 03:00:00,293.0,14,Office,159384,,,5.6,,-1.1,0.0,1019.5,,1.5
8748,1249,1,2016-01-01 03:00:00,662.382,14,Office,159384,,,5.6,,-1.1,0.0,1019.5,,1.5
8749,1249,2,2016-01-01 03:00:00,899.64,14,Office,159384,,,5.6,,-1.1,0.0,1019.5,,1.5
8750,1249,3,2016-01-01 03:00:00,941.321,14,Office,159384,,,5.6,,-1.1,0.0,1019.5,,1.5
11042,1249,0,2016-01-01 04:00:00,310.0,14,Office,159384,,,5.0,,-2.2,0.0,1019.0,290.0,3.1
