epoch,acc,loss,lr,val_acc,val_loss
0,0.9051389,0.009155195346102119,1e-04,0.6788432,0.010377558879554272
1,0.9065914,0.00913971392903477,1e-04,0.67960423,0.010472497902810574
2,0.9058449,0.009024500139057636,1e-04,0.6765601,0.010726921260356903
3,0.904537,0.00898630594369024,1e-04,0.68340945,0.01013718731701374
4,0.90518516,0.009045123723335564,1e-04,0.67960423,0.01065334863960743
5,0.90304977,0.008959639030508696,1e-04,0.69482493,0.009823099710047245
6,0.9062963,0.008851474816910922,1e-04,0.6872146,0.010061940178275108
7,0.905463,0.008849199088290334,1e-04,0.68797565,0.010284771211445332
8,0.90465856,0.00868577066808939,1e-04,0.6894977,0.010161099024116993
9,0.906956,0.008697787020355462,1e-04,0.6917808,0.01058225054293871
10,0.9067882,0.008730720481835305,1e-04,0.6910198,0.010092848911881447
