epoch,acc,loss,lr,val_acc,val_loss
0,0.6691211,1.1386158215999602,0.001,0.8782344,20.620281219482422
1,0.9723828,0.4511498862504959,0.001,0.9695586,14.705995559692383
2,0.9725716,0.32395330935716626,0.001,0.9695586,12.609088897705078
3,0.9708073,0.28877527117729185,0.001,0.9695586,11.60528564453125
4,0.9713151,0.27036116302013397,0.001,0.9695586,10.94469165802002
5,0.97307295,0.26134380280971525,0.001,0.9695586,10.381680488586426
6,0.9702409,0.25356376767158506,0.001,0.9695586,9.989502906799316
7,0.97218096,0.24829279482364655,0.001,0.9695586,9.583436012268066
8,0.9741862,0.2430401387810707,0.001,0.9695586,9.267287254333496
9,0.9733854,0.24161808416247368,0.001,0.9695586,9.048638343811035
10,0.97158206,0.23933978885412216,0.001,0.9695586,8.873626708984375
11,0.9714258,0.23765906915068627,0.001,0.9695586,8.672359466552734
12,0.9715039,0.23427246540784835,0.001,0.9695586,8.538288116455078
13,0.9733073,0.23195695757865906,0.001,0.9695586,8.327689170837402
14,0.97313803,0.22839436933398247,0.001,0.9695586,8.189695358276367
15,0.9728776,0.22754571244120597,0.001,0.9695586,8.016393661499023
16,0.9736393,0.2284827108681202,0.001,0.9695586,7.913204193115234
17,0.97375,0.2285898333787918,0.001,0.9695586,7.820511341094971
18,0.9721159,0.22627609327435494,0.001,0.9695586,7.717292785644531
19,0.9710026,0.22513639003038408,0.001,0.9695586,7.6044511795043945
