epoch,acc,loss,lr,val_acc,val_loss
0,0.74243057,0.019761658841744065,0.001,0.9794521,0.012954623438417912
1,0.8249537,0.01319064331240952,0.001,0.9794521,0.013129854574799538
2,0.84008104,0.012510922527872026,0.000100000005,0.9794521,0.012403657659888268
3,0.84675926,0.012036312916316093,0.000100000005,0.9794521,0.012247789651155472
4,0.8467014,0.011667059967294335,0.000100000005,0.9794521,0.01226596999913454
5,0.8442014,0.011396684898063541,1e-04,0.9794521,0.012091284617781639
6,0.85041666,0.011681391368620097,1e-04,0.9794521,0.011851970106363297
7,0.84967595,0.011214790530502797,1e-04,0.9794521,0.011772769503295422
8,0.84660304,0.011095325113274157,1e-04,0.9794521,0.011640596203505993
9,0.856169,0.011160584264434874,1e-04,0.9794521,0.011336924508213997
10,0.85922456,0.011120209875516594,1e-04,0.9794521,0.011338263750076294
11,0.8515567,0.011021818164736033,1e-04,0.9794521,0.011447904631495476
12,0.85346645,0.010352967786602676,1e-04,0.9794521,0.011118775233626366
13,0.86088544,0.010423039137385785,1e-04,0.9794521,0.011100420728325844
14,0.8553588,0.010807335819117725,1e-04,0.9794521,0.011021792888641357
15,0.85773146,0.010102094318717718,1e-04,0.9794521,0.011052874848246574
16,0.8613021,0.010051491581834852,1e-04,0.9794521,0.010787880048155785
17,0.86211807,0.01005315554793924,1e-04,0.9794521,0.010656753554940224
18,0.8606424,0.010082197953015565,1e-04,0.9794521,0.010886088944971561
19,0.86012733,0.00973464235663414,1e-04,0.9794521,0.010732323862612247
