epoch,loss,lr,mae,val_loss,val_mae
0,0.03217898949980736,0.001,0.14532106,464035.40625,473.48184
1,0.018121544886380434,0.001,0.105986685,464057.875,473.4544
2,0.015176832899451256,0.000100000005,0.09575791,464060.46875,473.45316
3,0.014560001492500306,1e-04,0.093714215,464058.78125,473.45016
4,0.01419066036120057,1e-04,0.09215232,464038.25,473.437
5,0.013688070438802243,1e-04,0.09033675,464011.40625,473.41953
6,0.01337788661941886,1e-04,0.08914926,463972.25,473.39328
7,0.013115954659879208,1e-04,0.08838053,463938.125,473.37283
8,0.012587800566107034,1e-04,0.08611767,463903.15625,473.35214
9,0.012496433984488249,1e-04,0.08593863,463888.1875,473.3429
10,0.012272755894809962,1e-04,0.084948994,463875.5,473.33505
11,0.012058002054691314,1e-04,0.08436565,463838.1875,473.3142
12,0.011662093363702298,1e-04,0.082683675,463734.96875,473.25616
13,0.01172922296449542,1e-04,0.08304131,463717.59375,473.24612
14,0.011649076826870441,1e-04,0.08248177,463680.1875,473.2261
15,0.011036077905446291,1e-04,0.08034947,463659.4375,473.21478
16,0.010963082332164049,1e-04,0.080119595,463640.4375,473.2042
17,0.011057979837059974,1e-04,0.080470175,463617.6875,473.1911
18,0.010754437167197466,1e-04,0.079199016,463605.0,473.18378
19,0.010556119792163372,1e-04,0.07850757,463601.6875,473.1819
