epoch,loss,lr,mse,val_loss,val_mse
0,0.010838759229518474,1e-04,0.010838757,0.002124317456036806,0.0021243175
1,0.010455583352595568,1e-04,0.010455584,0.0018037251429632306,0.0018037251
2,0.010124815069139004,1e-04,0.010124814,0.001807769644074142,0.0018077696
3,0.010346132493577898,1e-04,0.010346132,0.0016825004713609815,0.0016825005
4,0.01027689681854099,1e-04,0.010276896,0.0016510963905602694,0.0016510964
5,0.009915131940506399,1e-04,0.009915132,0.001656453125178814,0.0016564531
6,0.010014516599476338,1e-04,0.010014518,0.0015910788206383586,0.0015910788
7,0.010095657547935843,1e-04,0.010095657,0.0016302777221426368,0.0016302777
8,0.009596238271333277,1e-04,0.009596236,0.0018113552359864116,0.0018113552
9,0.009603515728376805,1e-04,0.009603519,0.002010800177231431,0.0020108002
10,0.009564376464113592,1e-04,0.009564376,0.0016886048251762986,0.0016886048
11,0.009529779320582748,1e-04,0.00952978,0.0016784765757620335,0.0016784766
